code,name,sector,market,lo,hi,c0,c1,gain_lh,gain_cc,date_lo,date_hi,vol_ratio,bars
6356,日本ギア工業,機械,スタンダード,251.0,2287.0,332.0,1301.0,811.2,291.9,2022-01-27,2026-03-11,28.58,1225
3083,スターシーズ,小売,スタンダード,280.0,2540.0,377.0,1304.0,807.1,245.9,2021-10-08,2021-11-05,0.43,1225
3271,ＴＨＥグローバル社,不動産,スタンダード,141.0,1277.0,273.0,1276.0,805.7,367.4,2022-06-17,2026-04-09,2.82,1225
1723,日本電技,建設・資材,スタンダード,348.0,3147.5,498.8,2474.0,804.5,396.0,2022-10-20,2026-03-03,8.92,1225
8522,名古屋銀行,銀行,プライム,707.3,6370.0,1031.7,5880.0,800.6,469.9,2021-11-29,2026-03-27,1.29,1225
5802,住友電気工業,鉄鋼・非鉄,プライム,1278.0,11495.0,1657.0,10410.0,799.5,528.2,2022-03-07,2026-03-03,2.31,1225
1542,三菱ＵＦＪ信託銀行株式会社　純銀上場信託（現物国内保管型）,その他,その他,7270.0,65000.0,8370.0,33700.0,794.1,302.6,2021-09-30,2026-01-30,10.1,1225
5262,日本ヒューム,建設・資材,プライム,303.0,2690.0,378.0,1147.0,787.8,203.4,2022-10-28,2025-09-05,17.32,1225
6083,ＥＲＩホールディングス,情報通信・サービスその他,スタンダード,570.0,5060.0,600.0,4025.0,787.7,570.8,2021-05-14,2025-12-18,0.12,1225
1518,三井松島ホールディングス,情報通信・サービスその他,プライム,181.0,1600.0,197.8,1380.0,784.0,597.7,2021-04-21,2025-09-30,0.05,1225
1942,関電工,建設・資材,プライム,791.0,6986.0,952.0,6385.0,783.2,570.7,2022-06-17,2026-02-27,3.65,1225
1885,東亜建設工業,建設・資材,プライム,530.0,4680.0,615.8,3145.0,783.0,410.7,2022-11-15,2026-02-12,1.91,1225
8377,ほくほくフィナンシャルグループ,銀行,プライム,763.0,6643.0,1019.0,6472.0,770.6,535.1,2021-12-01,2026-04-08,1.36,1225
2726,パルグループホールディングス,小売,プライム,339.0,2948.0,386.3,1480.0,769.6,283.1,2022-04-25,2025-09-10,2.54,1225
4417,グローバルセキュリティエキスパート,情報通信・サービスその他,グロース,527.5,4575.0,830.0,2520.0,767.3,203.6,2022-01-24,2025-10-21,0.3,1052
6146,ディスコ,機械,プライム,9353.3,81000.0,12316.7,64600.0,766.0,424.5,2021-10-05,2026-02-26,6.47,1225
5161,西川ゴム工業,自動車・輸送機,スタンダード,530.0,4545.0,744.5,3620.0,757.5,386.2,2023-01-17,2026-02-27,7.45,1225
6254,野村マイクロ・サイエンス,機械,プライム,766.3,6370.0,1045.0,3425.0,731.3,227.8,2022-10-13,2024-04-01,1.86,1225
1662,石油資源開発,エネルギー資源,プライム,342.8,2819.0,409.8,2464.0,722.3,501.3,2021-07-29,2026-03-18,1.06,1225
4413,ボードルア,情報通信・サービスその他,プライム,420.0,3450.0,562.5,1978.0,721.4,251.6,2022-01-06,2025-06-02,0.41,1066
8011,三陽商会,素材・化学,プライム,583.0,4785.0,786.0,4120.0,720.8,424.2,2022-03-08,2026-02-10,0.88,1225
6855,日本電子材料,電機・精密,スタンダード,1252.0,10270.0,2094.0,6430.0,720.3,207.1,2025-04-07,2026-02-25,0.8,1225
6898,トミタ電機,電機・精密,スタンダード,1153.0,9420.0,1300.0,3930.0,717.0,202.3,2024-08-05,2022-09-12,0.12,1225
6023,ダイハツインフィニアース,自動車・輸送機,スタンダード,433.0,3525.0,505.0,2230.0,714.1,341.6,2022-07-06,2025-10-27,3.08,1225
7906,ヨネックス,情報通信・サービスその他,スタンダード,554.0,4505.0,612.0,3035.0,713.2,395.9,2021-05-13,2025-08-14,1.63,1225
3486,グローバル・リンク・マネジメント,不動産,プライム,376.0,3030.0,473.0,2027.0,705.9,328.5,2022-03-09,2025-10-07,2.95,1225
9913,日邦産業,商社・卸売,スタンダード,515.0,4140.0,683.0,3950.0,703.9,478.3,2021-07-09,2026-02-24,0.26,1225
6648,かわでん,電機・精密,スタンダード,346.0,2780.0,512.8,2187.0,703.5,326.5,2022-12-16,2026-01-06,20.35,1225
9722,藤田観光,情報通信・サービスその他,プライム,352.6,2832.0,384.4,2208.0,703.2,474.4,2021-05-14,2026-02-10,1.18,1225
9412,スカパーＪＳＡＴ,情報通信・サービスその他,プライム,398.0,3195.0,493.0,3140.0,702.8,536.9,2021-08-19,2026-03-16,1.34,1225
5243,ｎｏｔｅ,情報通信・サービスその他,グロース,401.0,3210.0,439.0,2695.0,700.5,513.9,2023-01-04,2026-01-23,0.56,807
